Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 90  	 ||||Top-20 	 0.0000 TEST SET,0.0719,0.0248,0.0119	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 100  	 ||||Top-20 	 0.0000 TEST SET,0.0766,0.0257,0.0120	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 0  	 ||||Top-20 	 0.0000 TEST SET,0.0540,0.0191,0.0101	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 10  	 ||||Top-20 	 0.0000 TEST SET,0.0470,0.0150,0.0068	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 20  	 ||||Top-20 	 0.0000 TEST SET,0.0520,0.0163,0.0069	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 30  	 ||||Top-20 	 0.0000 TEST SET,0.0548,0.0175,0.0077	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 40  	 ||||Top-20 	 0.0000 TEST SET,0.0648,0.0217,0.0103	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 50  	 ||||Top-20 	 0.0000 TEST SET,0.0840,0.0354,0.0222	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 60  	 ||||Top-20 	 0.0000 TEST SET,0.0982,0.0416,0.0259	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 70  	 ||||Top-20 	 0.0000 TEST SET,0.1032,0.0451,0.0289	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 80  	 ||||Top-20 	 0.0000 TEST SET,0.1088,0.0481,0.0313	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 90  	 ||||Top-20 	 0.0000 TEST SET,0.1108,0.0490,0.0319	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 100  	 ||||Top-20 	 0.0000 TEST SET,0.1166,0.0515,0.0335	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 0  	 ||||Top-20 	 0.0000 TEST SET,0.0685,0.0271,0.0154	||||
